B0001,Generic,"Invalid Data Received From Cruise Control Front Distance Range Sensor"
B0002,Generic,"Invalid Data Received From Active Roll Control Module"
B0003,Generic,"Invalid Data Received From Power Steering Control Module"
B0004,Generic,"Invalid Data Received From Differential Control Module"
B0005,Generic,"Invalid Data Received From Differential Control Module"
B0010,Generic,"Invalid Data Received From Trailer Brake Control Module"
B0011,Generic,"Invalid Data Received From All Terrain Control Module"
B0012,Generic,"Invalid Data Received From Suspension Control Module B"
B0013,Generic,"Invalid Data Received From Cruise Control Front Distance Range Sensor"
B0020,Generic,"Invalid Data Received From Cruise Control Front Distance Range Sensor"
B0021,Generic,"Invalid Data Received From Emissions Critical Control Information"
B0022,Generic,"Invalid Data Received From ECM/PCM B"
B0028,Generic,"Invalid Data Received From Body Control Module B"
B0029,Generic,"Invalid Data Received From Body Control Module C"
B002A,Generic,"Invalid Data Received From Body Control Module D"
B0030,Generic,"Invalid Data Received From Body Control Module E"
B0031,Generic,"Invalid Data Received From Gateway A"
B0032,Generic,"Invalid Data Received From Gateway B"
B0033,Generic,"Invalid Data Received From Gateway C"
B0038,Generic,"Invalid Data Received From Gateway D"
B0039,Generic,"Invalid Data Received From Gateway E"
B003A,Generic,"Invalid Data Received From Restraints Control Module"
B003B,Generic,"Invalid Data Received From Side Restraints Control Module"
B0040,Generic,"Invalid Data Received From Side Restraints Control Module"
B0041,Generic,"Invalid Data Received From Restraints Occupant Classification System Module"
B0042,Generic,"Invalid Data Received From Coolant Temperature Control Module"
B0043,Generic,"Invalid Data Received From Information Center A"
B0048,Generic,"Invalid Data Received From Information Center B"
B0049,Generic,"Invalid Data Received From Head Up Display"
B004A,Generic,"Invalid Data Received From Parking Assist Control Module A"
B004B,Generic,"Invalid Data Received From Audible Alert Control Module"
B0050,Generic,"Invalid Data Received From Compass Module"
B0051,Generic,"Invalid Data Received From Navigation Display Module"
B0052,Generic,"Invalid Data Received From Navigation Control Module"
B0053,Generic,"Invalid Data Received From PTO Control Module"
B0054,Generic,"Invalid Data Received From HVAC Control Module"
B0055,Generic,"Invalid Data Received From Fuel Additive Control Module"
B0056,Generic,"Invalid Data Received From Fuel Cell Control Module"
B0057,Generic,"Invalid Data Received From Starter / Generator Control Module"
B0058,Generic,"Invalid Data Received From Sunroof Control Module"
B0060,Generic,"Invalid Data Received From Global Positioning System Module"
B0061,Generic,"Invalid Data Received From Restraints System Sensor A"
B0070,Generic,"Invalid Data Received From Restraints System Sensor B"
B0071,Generic,"Invalid Data Received From Restraints System Sensor C"
B0072,Generic,"Invalid Data Received From Restraints System Sensor D"
B0073,Generic,"Invalid Data Received From Restraints System Sensor E"
B0074,Generic,"Invalid Data Received From Restraints System Sensor F"
B0075,Generic,"Invalid Data Received From Restraints System Sensor G"
B0076,Generic,"Invalid Data Received From Restraints System Sensor H"
B0077,Generic,"Invalid Data Received From Restraints System Sensor I"
B0078,Generic,"Invalid Data Received From Restraints System Sensor J"
B0079,Generic,"Invalid Data Received From Restraints System Sensor K"
B007A,Generic,"Invalid Data Received From Restraints System Sensor L"
B007B,Generic,"Invalid Data Received From Restraints System Sensor M"
B007C,Generic,"Invalid Data Received From Restraints System Sensor N"
B007D,Generic,"Invalid Data Received From Seatbelt Pretensioner Module A"
B007E,Generic,"Invalid Data Received From Seatbelt Pretensioner Module B"
B007F,Generic,"Invalid Data Received From Automatic Lighting Control Module"
B0080,Generic,"Invalid Data Received From Headlamp Leveling Control Module"
B0081,Generic,"Invalid Data Received From Lighting Control Module"
B0082,Generic,"Invalid Data Received From Lighting Control Module"
B0083,Generic,"Invalid Data Received From Radio"
B0084,Generic,"Invalid Data Received From Antenna Control Module"
B0085,Generic,"Invalid Data Received From Audio Amplifier A"
B0086,Generic,"Invalid Data Received From Digital Disc Player/Changer Module A"
B0087,Generic,"Invalid Data Received From Digital Disc Player/Changer Module B"
B0088,Generic,"Invalid Data Received From Digital Disc Player/Changer Module C"
B0090,Generic,"Invalid Data Received From Digital Disc Player/Changer Module D"
B0091,Generic,"Invalid Data Received From Television"
B0092,Generic,"Invalid Data Received From Personal Computer"
B0093,Generic,"Invalid Data Received From Digital Audio Control Module A"
B0094,Generic,"Invalid Data Received From Digital Audio Control Module B"
B0095,Generic,"Invalid Data Received From Subscription Entertainment Receiver Module"
B0096,Generic,"Invalid Data Received From Entertainment Control Module"
B0097,Generic,"Invalid Data Received From Telephone Control Module"
B0098,Generic,"Invalid Data Received From Telematic Control Module"
B0099,Generic,"Invalid Data Received From Door Control Module A"
B009A,Generic,"Invalid Data Received From Door Control Module B"
B009B,Generic,"Invalid Data Received From Door Control Module C"
B009C,Generic,"Invalid Data Received From Door Control Module D"
B009D,Generic,"Invalid Data Received From Door Control Module E"
B009E,Generic,"Invalid Data Received From Door Control Module F"
B009F,Generic,"Invalid Data Received From Door Control Module G"
B00A0,Generic,"Invalid Data Received From Folding Top Control Module"
B00A1,Generic,"Invalid Data Received From Moveable Roof Control Module"
B00B0,Generic,"Invalid Data Received From Seat Control Module A"
B00B1,Generic,"Invalid Data Received From Seat Control Module B"
B00B2,Generic,"Invalid Data Received From Seat Control Module C"
B00B3,Generic,"Invalid Data Received From Seat Control Module D"
B00B4,Generic,"Invalid Data Received From Yaw Rate Sensor Module"
B00B5,Generic,"Invalid Data Received From Mirror Control Module"
B00B6,Generic,"Invalid Data Received From Remote Function Actuation"
B00B7,Generic,"Invalid Data Received From Door Switch A"
B00B8,Generic,"Invalid Data Received From Door Switch B"
B00B9,Generic,"Invalid Data Received From Door Switch C"
B00BA,Generic,"Invalid Data Received From Door Switch D"
B00BB,Generic,"Invalid Data Received From Door Switch E"
B00C0,Generic,"Invalid Data Received From Door Switch F"
B00C1,Generic,"Invalid Data Received From Door Switch G"
B00C2,Generic,"Invalid Data Received From Door Window Motor A"
B00C3,Generic,"Invalid Data Received From Door Window Motor B"
B00C4,Generic,"Invalid Data Received From Door Window Motor C"
B00C5,Generic,"Invalid Data Received From Door Window Motor D"
B00C6,Generic,"Invalid Data Received From Door Window Motor E"
B00C7,Generic,"Invalid Data Received From Door Window Motor F"
B00C8,Generic,"Invalid Data Received From Door Window Motor G"
B00C9,Generic,"Invalid Data Received From Heated Steering Wheel Module"
B00CA,Generic,"Invalid Data Received From Rear Gate Module"
B00CB,Generic,"Invalid Data Received From Rain Sensing Module"
B00D0,Generic,"Invalid Data Received From Side Obstacle Detection Control Module"
B00D1,Generic,"Invalid Data Received From Side Obstacle Detection Control Module"
B00D2,Generic,"Invalid Data Received From Convenience Recall Module"
B00D3,Generic,"Invalid Data Received From Lateral Acceleration Sensor Module"
B00D4,Generic,"Invalid Data Received From Column Lock Module"
B00D5,Generic,"Invalid Data Received From Digital Audio Control Module C"
B00DF,Generic,"Invalid Data Received From Digital Audio Control Module D"
B00E0,Generic,"Invalid Data Received From Entrapment Control Module A"
B00E1,Generic,"Invalid Data Received From Image Processing Module A"
B00E2,Generic,"Invalid Data Received From Image Processing Module B"
B00E3,Generic,"Invalid Data Received From Image Processing Module C"
B00E4,Generic,"Invalid Data Received From Entrapment Control Module B"
B00E5,Generic,"Invalid Data Received From Headlamp Control Module A"
B00E6,Generic,"Invalid Data Received From Headlamp Control Module B"
B00E7,Generic,"Invalid Data Received From Parking Assist Control Module B"
B00E8,Generic,"Invalid Data Received From Running Board Control Module"
B2785,Lexus,"Invalid Data Received From Entertainment Control Module"
B2785,Toyota,"Invalid Data Received From Seat Control Module E"
B2786,Lexus,"Invalid Data Received From Seat Control Module F"
B2786,Toyota,"Invalid Data Received From Remote Accessory Module"
B2791,Lexus,"Invalid Data Received From Entertainment Control Module"
B2791,Toyota,"Invalid Data Received From Interior Lighting Control Module"
